"veiculo","ano","marca","categoria","sexo_condutor","idade_condutor","estado","valor_sinistro"
"HB20",2009,"Ford","Perua","Masculino",30,"PE",112628.253175295
"HB20",2010,"Jeep","Hatch","Masculino",54,"GO",14386.5415675333
"Jeep Renegade",2012,"Jeep","Perua","Masculino",20,"SP",174928.50657776
"Onix",2000,"Volkswagen","Crossover","Feminino",49,"RS",38870.9930449259
"Fox",2006,"Jeep","Picape","Masculino",35,"CE",55054.5199669665
"Ka",2002,"Volkswagen","Minivan","Masculino",20,"MS",207657.145324023
"Prisma",2016,"Ford","Picape","Masculino",24,"GO",142411.682960135
"Fox",2003,"Ford","Hatch","Masculino",39,"RJ",164659.828448342
"Civic",2000,"Honda","SUV","Masculino",39,"AM",24719.2214286653
"Jeep Renegade",2012,"Chevrolet","Esportivo","Masculino",65,"PR",9773.75120089855
"Ka",2016,"Chevrolet","Hatch","Feminino",40,"DF",39243.1378444657
"HB20",2001,"Chevrolet","Hatch","Masculino",62,"MT",11107.0243146038
"Civic",2017,"Honda","Crossover","Feminino",60,"RJ",504.16479210835
"Civic",2004,"Hyundai","Furgão","Masculino",30,"PI",135615.08124934
"Civic",2006,"Chevrolet","Esportivo","Feminino",18,"BA",273190.124124032
"HB20",2007,"Toyota","Sedan","Masculino",61,"MT",38009.5490738284
"Corolla",2007,"Volkswagen","Perua","Feminino",26,"DF",95663.4498888394
"Jeep Renegade",2017,"Hyundai","Picape","Feminino",43,"RS",78800.542525528
"Creta",2016,"Honda","Minivan","Masculino",43,"PI",38980.2299321629
"Jeep Renegade",2018,"Volkswagen","Furgão","Feminino",22,"BA",111570.890450408
"Civic",2017,"Volkswagen","Sedan","Feminino",46,"RN",19695.8569293143
"HB20",2000,"Jeep","Esportivo","Masculino",28,"PB",136179.278171365
"Prisma",2024,"Chevrolet","Minivan","Masculino",46,"PA",30726.1824744521
"Gol",2000,"Ford","Picape","Feminino",36,"PB",198310.598041769
"Creta",2019,"Chevrolet","Furgão","Feminino",34,"AP",73723.941677087
"Ka",2003,"Volkswagen","Perua","Masculino",64,"AC",28841.2912758766
"Jeep Renegade",2017,"Toyota","SUV","Feminino",59,"PA",19546.3399809785
"Creta",2012,"Jeep","Furgão","Feminino",62,"RN",9519.49719865806
"Civic",2022,"Chevrolet","Furgão","Masculino",35,"PE",186961.020245496
"Civic",2007,"Chevrolet","SUV","Feminino",39,"SP",195934.982834314
"Jeep Renegade",2005,"Ford","Esportivo","Feminino",21,"AL",105524.711823952
"Creta",2012,"Hyundai","Sedan","Masculino",53,"AM",36986.0162748722
"Ka",2018,"Ford","Esportivo","Feminino",26,"DF",67570.2376589878
"Creta",2015,"Chevrolet","Furgão","Masculino",20,"MT",212253.959248541
"Ka",2017,"Jeep","Crossover","Masculino",42,"RR",25598.6358723138
"Fox",2017,"Ford","Sedan","Feminino",22,"PI",219307.228325657
"Civic",2005,"Ford","Hatch","Feminino",34,"AC",67502.2650734056
"Onix",2008,"Volkswagen","Minivan","Feminino",46,"AP",93955.1320616156
"Ka",2011,"Ford","Perua","Masculino",65,"PR",25269.5738569833
"Corolla",2017,"Toyota","Minivan","Feminino",21,"SP",109318.468075781
"Onix",2014,"Ford","Esportivo","Masculino",57,"RJ",32498.0276085902
"Gol",2023,"Toyota","Hatch","Feminino",38,"RO",60949.2863903055
"Civic",2023,"Hyundai","Sedan","Feminino",24,"MS",13816.9992728624
"Civic",2010,"Jeep","SUV","Feminino",38,"AP",44897.35334781
"Fox",2011,"Ford","Sedan","Feminino",54,"AC",21061.0209918814
"Ka",2013,"Toyota","Perua","Masculino",61,"AL",14609.2976453947
"Civic",2013,"Volkswagen","Perua","Feminino",60,"BA",34073.8510896452
"Jeep Renegade",2004,"Honda","Crossover","Masculino",65,"SE",17357.4063596316
"Prisma",2016,"Ford","Esportivo","Feminino",40,"SE",61147.9988420615
"Fox",2011,"Toyota","Esportivo","Masculino",50,"PR",80859.9624282215
"Corolla",2014,"Ford","Sedan","Feminino",25,"TO",42518.7239983119
"Fox",2001,"Honda","Perua","Masculino",53,"PR",49992.0489693293
"Fox",2021,"Honda","Furgão","Masculino",44,"MT",17138.0016169278
"Creta",2003,"Honda","Hatch","Masculino",30,"GO",20879.722191859
"Gol",2020,"Toyota","Sedan","Masculino",53,"RJ",19032.7388969483
"Fox",2017,"Toyota","SUV","Masculino",26,"SP",110725.647130376
"Onix",2004,"Toyota","Esportivo","Feminino",40,"PA",42473.8932362292
"Gol",2022,"Toyota","SUV","Masculino",20,"CE",149068.690843577
"Onix",2018,"Honda","Hatch","Masculino",50,"AM",38888.5675147874
"Prisma",2000,"Chevrolet","Crossover","Feminino",52,"SE",7747.34016610309
"Ka",2014,"Jeep","Perua","Masculino",27,"AM",102238.181809825
"Fox",2001,"Hyundai","Picape","Masculino",29,"TO",191934.876892669
"HB20",2000,"Honda","Sedan","Masculino",19,"RN",205149.275634368
"Civic",2022,"Honda","Perua","Feminino",44,"ES",86333.8444902794
"Prisma",2000,"Chevrolet","Picape","Feminino",28,"RS",184660.81089084
"Fox",2024,"Ford","Perua","Masculino",64,"AM",25617.3946942668
"Civic",2018,"Volkswagen","Sedan","Feminino",52,"DF",27841.5104439948
"Civic",2021,"Volkswagen","Crossover","Masculino",19,"AC",182153.95158052
"Creta",2008,"Honda","Esportivo","Feminino",61,"SE",16990.2365343645
"HB20",2024,"Volkswagen","Picape","Feminino",26,"RJ",57237.2019777307
"Corolla",2006,"Hyundai","Perua","Masculino",65,"SP",22362.9803445423
"Civic",2004,"Chevrolet","Perua","Masculino",32,"TO",96113.3511443855
"HB20",2020,"Toyota","Picape","Feminino",43,"RJ",26916.3803187199
"Creta",2021,"Ford","Minivan","Feminino",49,"SC",49198.6001318088
"HB20",2016,"Hyundai","Crossover","Masculino",59,"DF",44599.6583739063
"Creta",2023,"Ford","Sedan","Feminino",47,"AL",51307.1555631235
"Fox",2006,"Toyota","Esportivo","Masculino",27,"AL",68056.7679861095
"Jeep Renegade",2005,"Honda","Sedan","Masculino",50,"AL",74015.733590303
"Ka",2018,"Volkswagen","Perua","Feminino",27,"AM",110474.713684153
"Ka",2008,"Chevrolet","Sedan","Masculino",23,"ES",251698.06268625
"Corolla",2021,"Hyundai","Esportivo","Feminino",47,"MA",7132.10123293102
"HB20",2005,"Volkswagen","Perua","Feminino",29,"PA",175095.649921056
"Jeep Renegade",2015,"Hyundai","Perua","Feminino",22,"RR",114879.141007341
"Onix",2016,"Toyota","Furgão","Masculino",31,"MS",113132.583626616
"Jeep Renegade",2017,"Ford","Crossover","Masculino",38,"SP",182918.25103811
"Onix",2004,"Toyota","Hatch","Feminino",60,"MS",44926.2887750054
"Jeep Renegade",2024,"Ford","Hatch","Feminino",25,"BA",103541.76548277
"Fox",2022,"Hyundai","Crossover","Feminino",33,"PI",56050.0470655272
"Prisma",2008,"Toyota","Sedan","Feminino",27,"RS",181269.215010945
"Gol",2012,"Jeep","Furgão","Masculino",23,"GO",120887.289402913
"Fox",2005,"Toyota","Minivan","Feminino",51,"TO",48478.0373108573
"HB20",2013,"Volkswagen","Hatch","Masculino",45,"SE",62776.2998512713
"Corolla",2011,"Jeep","Hatch","Feminino",51,"MS",632.00878049247
"HB20",2022,"Chevrolet","Crossover","Masculino",40,"RJ",170695.729725086
"Corolla",2018,"Volkswagen","Picape","Feminino",55,"SE",29425.1969067845
"Gol",2011,"Toyota","Minivan","Masculino",19,"DF",229020.959654544
